Security,FB US Equity                                                    ,
Start Date,5/1/2015 0:00,
End Date,5/14/2021 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
3/11/2020,170.24,20397204
3/10/2020,178.19,24517791
3/9/2020,169.5,29949041
3/6/2020,181.09,24559550
3/5/2020,185.17,19333425
3/4/2020,191.76,23062473
3/3/2020,185.89,27984104
3/2/2020,196.44,24948955
2/28/2020,192.47,32583494
2/27/2020,189.75,21682626
2/26/2020,197.2,16555210
2/25/2020,196.77,21433487
2/24/2020,200.72,23080057
2/21/2020,210.18,14098432
2/20/2020,214.58,13109213
2/19/2020,217.49,12135114
2/18/2020,217.8,15630026
2/14/2020,214.18,10741747
2/13/2020,213.14,15396625
2/12/2020,210.76,13813704
2/11/2020,207.19,25030810
2/10/2020,213.06,11856350
2/7/2020,212.33,12242530
2/6/2020,210.85,10567533
2/5/2020,210.11,12538154
2/4/2020,209.83,19628890
2/3/2020,204.19,15510509
1/31/2020,201.91,31359917
1/30/2020,209.53,48775500
1/29/2020,223.23,33610005
1/28/2020,217.79,13413835
1/27/2020,214.87,13810655
1/24/2020,217.94,11905824
1/23/2020,219.76,11195000
1/22/2020,221.32,12212814
1/21/2020,221.44,14275784
1/17/2020,222.14,15905944
1/16/2020,221.77,10015288
1/15/2020,221.15,10036475
1/14/2020,219.06,13315361
1/13/2020,221.91,14494517
1/10/2020,218.06,12127432
1/9/2020,218.3,12679579
1/8/2020,215.22,13492703
1/7/2020,213.06,15111857
1/6/2020,212.6,17073861
1/3/2020,208.67,11197416
1/2/2020,209.78,12090707
12/31/2019,205.25,8962756
12/30/2019,204.41,10534441
12/27/2019,208.1,10287634
12/26/2019,207.79,9368273
12/24/2019,205.12,6046273
12/23/2019,206.18,13353194
12/20/2019,206.3,27315226
12/19/2019,206.06,16808184
12/18/2019,202.5,23284746
12/17/2019,198.39,10177605
12/16/2019,197.92,14922733
12/13/2019,194.11,18806020
12/12/2019,196.75,23766986
12/11/2019,202.26,8041827
12/10/2019,200.87,9485568
12/9/2019,201.34,12013218
12/6/2019,201.05,12279525
12/5/2019,199.36,9755350
12/4/2019,198.71,8459939
12/3/2019,198.82,13014170
12/2/2019,199.7,11542020
11/29/2019,201.64,7985231
11/27/2019,202,12760568
11/26/2019,198.97,11748664
11/25/2019,199.79,15286442
11/22/2019,198.82,9959817
11/21/2019,197.93,12130985
11/20/2019,197.51,12370240
11/19/2019,199.32,19070291
11/18/2019,197.4,16176107
11/15/2019,195.1,11530232
11/14/2019,193.15,9059897
11/13/2019,193.19,11009800
11/12/2019,194.47,17615454
11/11/2019,189.61,8637768
11/8/2019,190.84,10764784
11/7/2019,190.42,13472998
11/6/2019,191.55,10973019
11/5/2019,194.32,9941954
11/4/2019,194.72,16371292
11/1/2019,193.62,21711829
10/31/2019,191.65,42286529
10/30/2019,188.25,28734559
10/29/2019,189.31,13574874
10/28/2019,189.4,13657866
10/25/2019,187.89,8061240
10/24/2019,186.38,11505406
10/23/2019,186.15,12370819
10/22/2019,182.34,19854192
10/21/2019,189.76,8580744
10/18/2019,185.85,16882862
10/17/2019,190.39,9761548
10/16/2019,189.55,10560343
10/15/2019,188.89,15143119
10/14/2019,183.28,7203665
10/11/2019,184.19,14998754
10/10/2019,180.03,8980978
10/9/2019,179.85,7648874
10/8/2019,177.75,10084896
10/7/2019,179.68,9359793
10/4/2019,180.45,10476395
10/3/2019,179.38,16789319
10/2/2019,174.6,16374148
10/1/2019,175.81,17261556
9/30/2019,178.08,11071425
9/27/2019,177.1,14663575
9/26/2019,180.11,16280691
9/25/2019,182.8,18339960
9/24/2019,181.28,18775666
9/23/2019,186.82,14370089
9/20/2019,189.93,20359878
9/19/2019,190.14,10474685
9/18/2019,188.14,9945798
9/17/2019,188.08,9751570
9/16/2019,186.22,8444844
9/13/2019,187.19,11441116
9/12/2019,187.47,11419775
9/11/2019,188.49,11761660
9/10/2019,186.17,15455867
9/9/2019,188.76,14722402
9/6/2019,187.49,15226820
9/5/2019,190.9,13896621
9/4/2019,187.14,11314571
9/3/2019,182.39,9792187
8/30/2019,185.67,10785722
8/29/2019,185.57,10135033
8/28/2019,181.76,9392060
8/27/2019,181.3,14408946
8/26/2019,180.36,8780477
8/23/2019,177.75,17331221
8/22/2019,182.04,10829509
8/21/2019,183.55,8409548
8/20/2019,183.81,10087592
8/19/2019,186.17,9699661
8/16/2019,183.7,12844832
8/15/2019,182.59,13059640
8/14/2019,179.71,18903716
8/13/2019,188.45,13653319
8/12/2019,185.37,10936283
8/9/2019,187.85,11058811
8/8/2019,190.16,14828916
8/7/2019,185.15,15833197
8/6/2019,184.51,18035686
8/5/2019,181.73,23086655
8/2/2019,189.02,15296975
8/1/2019,192.73,17777013
7/31/2019,194.23,14593544
7/30/2019,197.04,11903558
7/29/2019,195.94,16530801
7/26/2019,199.75,24433985
7/25/2019,200.71,39889869
7/24/2019,204.66,32532540
7/23/2019,202.36,14583680
7/22/2019,202.32,13589024
7/19/2019,198.36,12098262
7/18/2019,200.78,11956554
7/17/2019,201.8,12083714
7/16/2019,203.84,12132720
7/15/2019,203.91,16030335
7/12/2019,204.87,15366272
7/11/2019,201.23,13678457
7/10/2019,202.73,20571702
7/9/2019,199.21,14698611
7/8/2019,195.76,9723858
7/5/2019,196.4,11164107
7/3/2019,197.2,10246119
7/2/2019,195,9049979
7/1/2019,193,14217138
6/28/2019,193,16378878
6/27/2019,189.5,11158983
6/26/2019,187.66,12808604
6/25/2019,188.84,16750309
6/24/2019,192.6,15508955
6/21/2019,191.14,22751159
6/20/2019,189.53,14635740
6/19/2019,187.48,21417092
6/18/2019,188.47,37571352
6/17/2019,189.01,29459881
6/14/2019,181.33,16773691
6/13/2019,177.47,12253569
6/12/2019,175.04,17699806
6/11/2019,178.1,15266644
6/10/2019,174.82,14767918
6/7/2019,173.35,16917343
6/6/2019,168.33,12446354
6/5/2019,168.17,19758317
6/4/2019,167.5,46044256
6/3/2019,164.15,56059609
5/31/2019,177.47,15226536
5/30/2019,183.01,8581544
5/29/2019,182.19,12797685
5/28/2019,184.31,14843308
5/24/2019,181.06,8807701
5/23/2019,180.87,12768835
5/22/2019,185.32,9213801
5/21/2019,184.82,7502820
5/20/2019,182.72,10351981
5/17/2019,185.3,10485370
5/16/2019,186.99,12953111
5/15/2019,186.27,16746904
5/14/2019,180.73,17628142
5/13/2019,181.54,16833347
5/10/2019,188.34,12578508
5/9/2019,188.65,12967033
5/8/2019,189.54,12505737
5/7/2019,189.77,16253001
5/6/2019,193.88,13994932
5/3/2019,195.47,14575434
5/2/2019,192.53,13209452
5/1/2019,193.03,15996646
